No.,County,Cumulative Cases,latitude,longitude,Total_Population,% cases in population,fully vaccinated ,Target Population above 18 years ,fully_per,Partially Vaccinated,partially_per,remainder
6,Embu ,2037,0.656,37.7238,"608,599",0.334703146,"37,511","395,980",9.5,"66,407",16.8,73.7
42,Trans Nzoia ,1927,1.0567,34.9507,"990,341",0.194579443,"34,820","518,077",6.7,"57,786",11.2,82.1
15,Kirinyaga ,1675,0.6591,37.3827,"610,411",0.274405278,"41,436","413,708",10,"97,018",23.5,66.5
8,Homa Bay ,1616,0.6221,34.331,"1,131,950",0.14276249,"21,110","608,326",3.5,"45,151",7.4,89.1
39,Taita Taveta ,1570,3.3161,38.485,"340,671",0.460855195,"25,685","213,335",12,"43,052",20.2,67.8
1,Baringo ,1277,0.8555,36.0893,"666,763",0.191522325,"16,379","338,937",4.8,"28,163",8.3,86.9
2,Bomet ,1215,0.8015,35.3027,"875,689",0.138747889,"14,088","465,963",3,"31,154",6.7,90.3
34,Nyamira ,1214,0.6483,34.9948,"605,576",0.200470296,"20,599","341,397",6,"34,827",10.2,83.8
33,Narok ,1087,1.3605,35.7407,"1,157,873",0.093879035,"11,996","548,229",2.2,"21,583",3.9,93.9
25,Marsabit ,837,2.4426,37.9785,"459,785",0.182041606,"2,817","219,170",1.3,"3,222",15,97.2
19,Kwale ,805,4.1816,39.4606,"866,820",0.092868185,"15,218","451,261",3.4,"22,972",5.1,91.5
45,Vihiga ,736,0.0768,34.7078,"590,013",0.124743014,"17,640","329,317",5.4,"43,946",13.3,81.3
41,Tharaka Nithi ,725,0.2965,37.7238,"393,177",0.184395323,"19,559","246,699",7.9,"33,504",13.6,78.5
9,Isiolo ,705,0.3524,38.485,"268,002",0.263057738,"3,593","133,358",2.7,"5,892",4.4,92.9
21,Lamu ,685,2.2355,40.472,"143,920",0.475958866,"1,989","83,433",2.4,"5,961",7.1,90.5
47,West Pokot ,457,1.621,35.3905,"621,241",0.073562434,"4,475","283,727",1.6,"9,313",3.3,95.1
5,Elgeyo Marakwet ,419,1.0498,35.4782,"454,480",0.092193276,"12,482","243,690",5.1,"22,628",9.3,85.6
24,Mandera ,397,3.5738,40.9587,"867,457",0.045765957,"5,162","341,857",1.5,"6,506",19,96.6
40,Tana River ,382,1.6518,39.6518,"315,943",0.120907885,"2,647","151,051",1.8,"3,871",2.6,95.6
37,Samburu ,301,1.2155,36.9541,"310,327",0.096994461,"4,992","145,608",3.4,"6,931",4.8,91.8
46,Wajir ,283,1.636,40.3089,"781,263",0.036223397,"6,172","337,296",1.8,"5,152",1.5,96.7
